Resource,Start,End,Track,Train
11,330.44,336.36,122,6
4,351.85,351.85,15,3
5,351.85,354.05,15,3
16,327.94,351.85,120,3
15,327.94,332.24,120,3
1,353.17,354.17,14,6
2,354.00,355.00,15,3
8,355.50,355.50,16,12
9,355.50,355.50,16,12
16,333.22,355.50,125,12
15,333.22,337.52,125,12
3,355.19,356.19,16,12
6,353.57,353.57,17,2
7,353.57,357.17,17,2
12,331.62,353.57,123,2
13,331.62,335.57,123,2
1,356.57,357.57,17,2
3,358.77,359.77,18,0
4,357.40,357.40,19,8
5,357.40,360.10,19,8
12,335.58,357.40,127,8
13,335.58,339.53,127,8
2,360.04,361.04,19,8
6,360.64,360.64,20,10
7,360.64,361.34,20,10
12,339.61,360.64,4,10
13,339.61,343.56,4,10
1,361.28,362.28,20,10
2,363.55,364.55,21,0
6,359.43,361.93,22,9
7,361.93,365.33,22,9
16,338.48,359.43,3,9
15,338.48,342.78,3,9
1,364.51,365.51,22,9
8,356.64,356.64,23,4
9,356.64,365.64,23,4
10,336.66,356.64,2,4
11,336.66,342.58,2,4
3,365.56,366.56,23,4
1,366.83,367.83,24,0
4,364.74,364.74,26,13
5,364.74,368.64,26,13
10,346.29,364.74,8,13
11,346.29,352.21,8,13
3,368.25,369.25,25,0
2,368.60,369.60,26,13
6,366.37,368.87,27,1
7,368.87,370.27,27,1
12,343.62,366.37,6,1
13,343.62,347.57,6,1
1,370.24,371.24,27,1
8,370.01,370.01,29,7
9,370.01,372.61,29,7
12,347.83,370.01,10,7
13,347.83,351.78,10,7
3,372.60,373.60,29,7
2,373.11,374.11,30,0
6,370.75,370.75,31,5
7,370.75,375.25,31,5
16,351.19,370.75,13,5
15,351.19,355.49,13,5
1,375.20,376.20,31,5
8,376.54,376.54,32,12
9,376.54,377.54,32,12
16,355.50,376.54,16,12
15,355.50,359.80,16,12
4,373.76,373.76,33,6
5,373.76,378.26,33,6
12,353.20,373.76,14,6
13,353.20,357.15,14,6
3,377.53,378.53,32,12
2,378.19,379.19,33,6
6,372.86,372.86,34,3
7,372.86,379.86,34,3
10,354.05,372.86,15,3
11,354.05,359.97,15,3
1,379.82,380.82,34,3
8,367.08,367.08,35,11
9,367.08,381.88,35,11
16,344.51,367.08,7,11
15,344.51,348.81,7,11
3,381.84,382.84,35,11
6,378.82,381.32,37,8
7,381.32,383.82,37,8
10,360.10,378.82,19,8
11,360.10,366.01,19,8
2,382.93,383.93,36,0
1,383.56,384.56,37,8
8,380.10,380.10,38,2
9,380.10,386.20,38,2
12,357.17,380.10,17,2
13,357.17,361.12,17,2
3,386.18,387.18,38,2
1,386.67,387.67,39,0
4,386.04,386.04,40,4
5,386.04,387.74,40,4
16,365.64,386.04,23,4
15,365.64,369.94,23,4
2,387.72,388.72,40,4
6,387.84,387.84,42,13
7,387.84,390.14,42,13
10,368.64,387.84,26,13
11,368.64,374.56,26,13
8,387.42,387.42,43,9
9,387.42,391.02,43,9
12,365.33,387.42,22,9
